NI (c) Historical Data Viewer v2.0                           
Created: 20.1.2025 14:40:00.049 FLE Standard Time
Number of rows: 15732
Interpolation interval: 0 seconds

Row,Time,\\EGP-DSC-1\C__Program_Files__x86__National_Instruments_LabVIEW_2014_data\EGP-DSC-1\Current Integrator\Current
170,11:59:52.120,2.76234e-008
171,11:59:52.420,3.08795e-008
172,11:59:52.720,3.25589e-008
173,11:59:53.010,3.04769e-008
174,11:59:53.330,3.10079e-008
175,11:59:53.635,3.1094e-008
176,11:59:53.935,3.1847e-008
177,11:59:54.236,3.36362e-008
178,11:59:54.533,3.12007e-008
179,11:59:54.820,3.02588e-008
180,11:59:55.120,3.38558e-008
181,11:59:55.420,2.66289e-008
182,11:59:55.720,3.31108e-008
183,11:59:56.020,2.65806e-008
184,11:59:56.339,3.45755e-008
185,11:59:56.636,3.13472e-008
186,11:59:56.934,3.39939e-008
187,11:59:57.237,3.15434e-008
188,11:59:57.532,2.91661e-008
189,11:59:57.820,2.96699e-008
190,11:59:58.120,3.09749e-008
191,11:59:58.420,2.99823e-008
192,11:59:58.720,3.17465e-008
193,11:59:59.011,3.08524e-008
194,11:59:59.330,3.3666e-008
195,11:59:59.636,2.17376e-008
196,11:59:59.935,4.77443e-009
197,12:00:00.241,1.92107e-010
198,12:00:00.526,-2.43361e-013
199,12:00:00.830,2.5846e-013
200,12:00:01.130,-6.0969e-012
201,12:00:01.420,-4.77929e-012
202,12:00:01.720,4.66027e-012
203,12:00:02.010,-1.45572e-012
204,12:00:02.333,2.02949e-012
205,12:00:02.635,2.29505e-012
206,12:00:02.931,-6.53255e-013
207,12:00:03.233,1.2168e-013
208,12:00:03.521,1.74927e-012
209,12:00:03.830,5.25011e-011
210,12:00:04.120,4.9399e-010
211,12:00:04.420,1.27542e-010
212,12:00:04.720,1.81715e-009
213,12:00:05.010,1.27619e-009
214,12:00:05.330,6.37089e-009
215,12:00:05.636,1.46881e-008
216,12:00:05.932,2.4708e-008
217,12:00:06.236,2.29143e-008
218,12:00:06.535,2.88531e-008
219,12:00:06.830,2.90845e-008
220,12:00:07.120,3.36406e-008
221,12:00:07.420,3.09094e-008
222,12:00:07.720,3.32026e-008
223,12:00:08.010,3.16833e-008
224,12:00:08.327,3.01784e-008
225,12:00:08.628,3.32555e-008
226,12:00:08.928,3.12613e-008
227,12:00:09.240,3.19262e-008
228,12:00:09.536,3.22378e-008
229,12:00:09.830,3.07887e-008
230,12:00:10.121,2.98507e-008
231,12:00:10.420,3.3291e-008
232,12:00:10.720,3.07427e-008
233,12:00:11.020,2.98269e-008
234,12:00:11.325,2.84663e-008
235,12:00:11.633,2.9069e-008
236,12:00:11.937,2.87464e-008
237,12:00:12.240,3.3114e-008
238,12:00:12.531,1.90948e-008
239,12:00:12.820,1.81716e-008
240,12:00:13.120,1.05924e-008
241,12:00:13.420,1.67266e-008
242,12:00:13.720,1.23279e-008
243,12:00:14.020,2.53035e-008
244,12:00:14.322,2.54283e-008
245,12:00:14.637,2.86934e-008
246,12:00:14.928,2.76276e-008
247,12:00:15.236,2.79478e-008
248,12:00:15.545,3.17908e-008
249,12:00:15.830,2.81799e-008
250,12:00:16.130,3.0181e-008
251,12:00:16.420,2.84945e-008
252,12:00:16.720,3.31688e-008
253,12:00:17.020,2.64804e-008
254,12:00:17.319,3.37181e-008
255,12:00:17.628,2.67723e-008
256,12:00:17.934,3.00957e-008
257,12:00:18.243,3.32492e-008
258,12:00:18.541,2.63488e-008
259,12:00:18.820,3.12906e-008
260,12:00:19.130,3.32987e-008
261,12:00:19.420,2.83635e-008
262,12:00:19.720,3.43039e-008
263,12:00:20.020,3.17681e-008
264,12:00:20.316,3.17842e-008
265,12:00:20.632,3.15887e-008
266,12:00:20.933,2.62989e-008
267,12:00:21.239,3.2086e-008
268,12:00:21.530,2.60454e-008
269,12:00:21.820,3.34411e-008
270,12:00:22.130,3.14932e-008
271,12:00:22.420,3.31618e-008
272,12:00:22.720,2.97363e-008
273,12:00:23.020,3.18021e-008
274,12:00:23.313,3.12331e-008
275,12:00:23.631,3.12411e-008
276,12:00:23.932,3.32827e-008
277,12:00:24.240,3.27661e-008
278,12:00:24.532,3.17738e-008
279,12:00:24.821,3.33526e-008
280,12:00:25.130,3.34362e-008
281,12:00:25.430,2.99436e-008
282,12:00:25.720,3.23547e-008
283,12:00:26.020,2.8622e-008
284,12:00:26.310,3.46477e-008
285,12:00:26.636,3.34032e-008
286,12:00:26.927,3.44531e-008
287,12:00:27.238,3.14655e-008
288,12:00:27.545,3.31099e-008
289,12:00:27.832,3.30335e-008
290,12:00:28.121,3.21353e-008
291,12:00:28.430,3.12759e-008
292,12:00:28.720,3.16422e-008
293,12:00:29.020,3.16195e-008
294,12:00:29.320,3.1775e-008
295,12:00:29.631,3.1321e-008
296,12:00:29.930,3.03359e-008
297,12:00:30.237,3.57115e-008
298,12:00:30.536,2.86733e-008
299,12:00:30.834,3.1783e-008
300,12:00:31.130,2.8986e-008
301,12:00:31.420,3.05863e-008
302,12:00:31.720,2.79902e-008
303,12:00:32.020,3.54159e-008
304,12:00:32.311,3.07649e-008
305,12:00:32.629,3.26825e-008
306,12:00:32.931,2.34125e-008
307,12:00:33.239,3.39929e-008
308,12:00:33.534,3.0418e-008
309,12:00:33.831,3.12885e-008
310,12:00:34.120,3.2972e-008
311,12:00:34.430,3.21873e-008
312,12:00:34.720,3.05162e-008
313,12:00:35.020,2.60959e-008
314,12:00:35.310,3.25199e-008
315,12:00:35.628,2.85298e-008
316,12:00:35.927,2.98468e-008
317,12:00:36.235,2.6766e-008
318,12:00:36.542,3.18909e-008
319,12:00:36.822,2.741e-008
320,12:00:37.120,3.56803e-008
321,12:00:37.430,2.78921e-008
322,12:00:37.720,3.28877e-008
323,12:00:38.020,3.14756e-008
324,12:00:38.310,2.79519e-008
