1e-06, 176.0
1.0471285480508985e-06, 237.0
1.096478196143185e-06, 242.0
1.1481536214968817e-06, 236.0
1.2022644346174132e-06, 267.0
1.2589254117941661e-06, 295.0
1.3182567385564074e-06, 326.0
1.3803842646028838e-06, 359.0
1.445439770745928e-06, 391.0
1.5135612484362072e-06, 479.0
1.584893192461114e-06, 503.0
1.6595869074375596e-06, 495.0
1.7378008287493763e-06, 627.0
1.8197008586099826e-06, 650.0
1.9054607179632483e-06, 700.0
1.9952623149688787e-06, 787.0
2.0892961308540407e-06, 815.0
2.1877616239495517e-06, 877.0
2.2908676527677747e-06, 1003.0
2.3988329190194897e-06, 1168.0
2.5118864315095823e-06, 1238.0
2.6302679918953817e-06, 1350.0
2.754228703338169e-06, 1443.0
2.884031503126606e-06, 1598.0
3.0199517204020193e-06, 1798.0
3.162277660168379e-06, 1937.0
3.3113112148259077e-06, 2091.0
3.467368504525317e-06, 2296.0
3.6307805477010175e-06, 2528.0
3.801893963205613e-06, 2746.0
3.981071705534969e-06, 3043.0
4.168693834703355e-06, 3371.0
4.365158322401657e-06, 3626.0
4.570881896148752e-06, 4027.0
4.78630092322638e-06, 4419.0
5.011872336272725e-06, 4830.0
5.248074602497723e-06, 5322.0
5.4954087385762485e-06, 5772.0
5.754399373371567e-06, 6278.0
6.025595860743581e-06, 6907.0
6.30957344480193e-06, 7419.0
6.606934480075964e-06, 8425.0
6.9183097091893625e-06, 9074.0
7.244359600749906e-06, 10136.0
7.585775750291836e-06, 11078.0
7.943282347242822e-06, 11934.0
8.31763771102671e-06, 12798.0
8.709635899560814e-06, 14138.0
9.120108393559096e-06, 15539.0
9.549925860214369e-06, 16859.0
1e-05, 18176.0
1.0471285480508985e-05, 20114.0
1.0964781961431852e-05, 21796.0
1.1481536214968841e-05, 23320.0
1.2022644346174132e-05, 25508.0
1.2589254117941661e-05, 27286.0
1.3182567385564074e-05, 30110.0
1.3803842646028866e-05, 32510.0
1.445439770745928e-05, 35198.0
1.5135612484362071e-05, 37972.0
1.584893192461114e-05, 39943.0
1.6595869074375598e-05, 43982.0
1.7378008287493764e-05, 46578.0
1.8197008586099827e-05, 50642.0
1.9054607179632484e-05, 53343.0
1.9952623149688786e-05, 57912.0
2.089296130854041e-05, 61050.0
2.187761623949552e-05, 65817.0
2.290867652767775e-05, 69373.0
2.39883291901949e-05, 74499.0
2.5118864315095822e-05, 78259.0
2.6302679918953814e-05, 83016.0
2.7542287033381633e-05, 86925.0
2.8840315031266056e-05, 92691.0
3.0199517204020192e-05, 96834.0
3.1622776601683795e-05, 102683.0
3.3113112148259076e-05, 106654.0
3.467368504525317e-05, 111895.0
3.6307805477010174e-05, 117470.0
3.8018939632056124e-05, 120938.0
3.9810717055349695e-05, 125526.0
4.168693834703355e-05, 129374.0
4.3651583224016654e-05, 134276.0
4.5708818961487516e-05, 138567.0
4.7863009232263804e-05, 141424.0
5.011872336272725e-05, 144719.0
5.248074602497723e-05, 147082.0
5.495408738576248e-05, 149492.0
5.7543993733715664e-05, 151398.0
6.0255958607435806e-05, 152989.0
6.309573444801929e-05, 152548.0
6.606934480075965e-05, 153584.0
6.918309709189363e-05, 151864.0
7.244359600749906e-05, 150624.0
7.585775750291836e-05, 149152.0
7.943282347242822e-05, 146042.0
8.317637711026709e-05, 143219.0
8.709635899560796e-05, 139221.0
9.120108393559096e-05, 133746.0
9.549925860214369e-05, 129591.0
0.0001, 123800.0
0.00010471285480508996, 118982.0
0.00010964781961431851, 112116.0
0.0001148153621496883, 105598.0
0.00012022644346174131, 99083.0
0.00012589254117941674, 92839.0
0.00013182567385564074, 86581.0
0.00013803842646028852, 79712.0
0.0001445439770745928, 74026.0
0.00015135612484362088, 68156.0
0.00015848931924611142, 62752.0
0.00016595869074375615, 57747.0
0.00017378008287493763, 52754.0
0.00018197008586099845, 48658.0
0.00019054607179632481, 44731.0
0.0001995262314968881, 41877.0
0.00020892961308540387, 38974.0
0.00021877616239495518, 36811.0
0.00022908676527677723, 35174.0
0.000239883291901949, 33658.0
0.00025118864315095795, 32685.0
0.00026302679918953814, 32053.0
0.0002754228703338166, 31289.0
0.00028840315031266055, 31345.0
0.0003019951720402016, 30957.0
0.00031622776601683794, 30868.0
0.0003311311214825911, 30606.0
0.0003467368504525317, 30568.0
0.0003630780547701014, 30018.0
0.00038018939632056124, 29768.0
0.00039810717055349735, 29509.0
0.0004168693834703355, 29068.0
0.0004365158322401661, 28456.0
0.0004570881896148752, 28525.0
0.00047863009232263854, 28187.0
0.0005011872336272725, 28331.0
0.0005248074602497728, 28701.0
0.0005495408738576248, 28763.0
0.0005754399373371572, 28383.0
0.0006025595860743581, 27949.0
0.0006309573444801936, 27898.0
0.0006606934480075957, 27331.0
0.0006918309709189362, 27652.0
0.0007244359600749898, 27924.0
0.0007585775750291835, 27729.0
0.0007943282347242813, 27584.0
0.0008317637711026709, 27682.0
0.0008709635899560805, 27479.0
0.0009120108393559096, 27048.0
0.0009549925860214359, 27512.0
0.001, 27349.0
0.0010471285480508996, 27017.0
0.0010964781961431851, 26969.0
0.0011481536214968829, 26411.0
0.001202264434617413, 26894.0
0.0012589254117941675, 26949.0
0.0013182567385564075, 26683.0
0.0013803842646028853, 26827.0
0.001445439770745928, 26225.0
0.0015135612484362087, 26682.0
0.001584893192461114, 26893.0
0.0016595869074375613, 26261.0
0.0017378008287493763, 25937.0
0.0018197008586099844, 26617.0
0.0019054607179632482, 26417.0
0.0019952623149688807, 25855.0
0.0020892961308540407, 26293.0
0.002187761623949552, 26570.0
0.0022908676527677724, 26652.0
0.00239883291901949, 26659.0
0.0025118864315095794, 26479.0
0.0026302679918953813, 26367.0
0.002754228703338166, 26481.0
0.0028840315031266055, 26566.0
0.003019951720402016, 26463.0
0.0031622776601683794, 26673.0
0.003311311214825911, 26788.0
0.0034673685045253167, 26687.0
0.003630780547701014, 26716.0
0.0038018939632056127, 26697.0
