TallyType,Surface,Distance,Energy,Counts,Uncertainty
tally_type_1,7,0.0,8.056300000000001e-06,212051.0,0.0018
tally_type_1,7,0.0,8.4292e-06,232362.0,0.0017
tally_type_1,7,0.0,8.819399999999999e-06,252093.0,0.0017
tally_type_1,7,0.0,9.2276e-06,273376.0,0.0016
tally_type_1,7,0.0,9.6547e-06,298804.0,0.0015
tally_type_1,7,0.0,1.0102000000000001e-05,323125.0,0.0015
tally_type_1,7,0.0,1.0569e-05,351069.0,0.0014
tally_type_1,7,0.0,1.1058e-05,381046.0,0.0014
tally_type_1,7,0.0,1.1570000000000001e-05,412398.0,0.0013
tally_type_1,7,0.0,1.2105999999999999e-05,446635.0,0.0013
tally_type_1,7,0.0,1.2666e-05,482692.0,0.0012
tally_type_1,7,0.0,1.3252e-05,523682.00000000006,0.0012
tally_type_1,7,0.0,1.3865999999999999e-05,564206.0,0.0011
tally_type_1,7,0.0,1.4508e-05,608070.0,0.0011
tally_type_1,7,0.0,1.5179e-05,657159.0,0.001
tally_type_1,7,0.0,1.5881999999999998e-05,706873.0,0.001
tally_type_1,7,0.0,1.6617e-05,760805.0,0.001
tally_type_1,7,0.0,1.7386000000000003e-05,818152.0,0.0009
tally_type_1,7,0.0,1.8191e-05,877181.0,0.0009
tally_type_1,7,0.0,1.9033e-05,940825.0,0.0009
tally_type_1,7,0.0,1.9914e-05,1007110.0000000001,0.0008
tally_type_1,7,0.0,2.0836e-05,1077400.0,0.0008
tally_type_1,7,0.0,2.18e-05,1148870.0,0.0008
tally_type_1,7,0.0,2.2808999999999998e-05,1225530.0,0.0008
tally_type_1,7,0.0,2.3865e-05,1303930.0,0.0007
tally_type_1,7,0.0,2.4969e-05,1386240.0,0.0007
tally_type_1,7,0.0,2.6125e-05,1469610.0,0.0007
tally_type_1,7,0.0,2.7334e-05,1552750.0,0.0007
tally_type_1,7,0.0,2.86e-05,1643280.0,0.0007
tally_type_1,7,0.0,2.9923999999999997e-05,1731160.0,0.0006
tally_type_1,7,0.0,3.1309e-05,1819870.0,0.0006
tally_type_1,7,0.0,3.2758e-05,1910070.0,0.0006
tally_type_1,7,0.0,3.4274e-05,2000820.0,0.0006
tally_type_1,7,0.0,3.586e-05,2090369.9999999998,0.0006
tally_type_1,7,0.0,3.752e-05,2177170.0,0.0006
tally_type_1,7,0.0,3.9257e-05,2261440.0,0.0006
tally_type_1,7,0.0,4.1074e-05,2343660.0,0.0006
tally_type_1,7,0.0,4.2975e-05,2421510.0,0.0005
tally_type_1,7,0.0,4.4965e-05,2494360.0,0.0005
tally_type_1,7,0.0,4.7046e-05,2563980.0,0.0005
tally_type_1,7,0.0,4.9223999999999995e-05,2626000.0,0.0005
tally_type_1,7,0.0,5.1502e-05,2680150.0,0.0005
tally_type_1,7,0.0,5.3886e-05,2726380.0,0.0005
tally_type_1,7,0.0,5.638e-05,2763210.0,0.0005
tally_type_1,7,0.0,5.899e-05,2789020.0,0.0005
tally_type_1,7,0.0,6.172e-05,2810110.0,0.0005
tally_type_1,7,0.0,6.4577e-05,2815670.0,0.0005
tally_type_1,7,0.0,6.7566e-05,2815110.0,0.0005
tally_type_1,7,0.0,7.0694e-05,2797950.0,0.0005
tally_type_1,7,0.0,7.3966e-05,2771180.0,0.0005
tally_type_1,7,0.0,7.7389e-05,2734170.0,0.0005
tally_type_1,7,0.0,8.097200000000001e-05,2681000.0,0.0005
tally_type_1,7,0.0,8.4719e-05,2618560.0,0.0005
tally_type_1,7,0.0,8.864100000000001e-05,2549300.0,0.0005
tally_type_1,7,0.0,9.2744e-05,2466130.0,0.0006
tally_type_1,7,0.0,9.7037e-05,2377550.0,0.0006
tally_type_1,7,0.0,0.00010153,2280710.0,0.0006
tally_type_1,7,0.0,0.00010623,2175490.0,0.0006
tally_type_1,7,0.0,0.00011114,2068280.0,0.0006
tally_type_1,7,0.0,0.00011629,1951990.0,0.0006
tally_type_1,7,0.0,0.00012167,1840040.0,0.0007
tally_type_1,7,0.0,0.0001273,1722290.0,0.0007
tally_type_1,7,0.0,0.0001332,1606500.0,0.0007
tally_type_1,7,0.0,0.00013936,1493520.0,0.0007
tally_type_1,7,0.0,0.00014581000000000002,1385980.0,0.0008
tally_type_1,7,0.0,0.00015256000000000002,1284530.0,0.0008
tally_type_1,7,0.0,0.00015962,1185490.0,0.0009
tally_type_1,7,0.0,0.00016701000000000002,1097250.0,0.0009
tally_type_1,7,0.0,0.00017474,1015800.0000000001,0.0009
tally_type_1,7,0.0,0.00018283,943362.0,0.001
tally_type_1,7,0.0,0.00019129,879272.0,0.001
tally_type_1,7,0.0,0.00020015,821662.0,0.0011
tally_type_1,7,0.0,0.00020941,774638.0,0.0011
tally_type_1,7,0.0,0.00021909999999999999,731040.0,0.0011
tally_type_1,7,0.0,0.00022925,694456.0,0.0012
tally_type_1,7,0.0,0.00023985999999999997,664437.0,0.0012
tally_type_1,7,0.0,0.00025096,640241.0,0.0012
tally_type_1,7,0.0,0.00026258,621358.0,0.0013
tally_type_1,7,0.0,0.00027473000000000005,606614.0,0.0013
tally_type_1,7,0.0,0.00028745,595346.0,0.0013
tally_type_1,7,0.0,0.00030074999999999996,586528.0,0.0013
tally_type_1,7,0.0,0.00031467,582003.0,0.0013
tally_type_1,7,0.0,0.00032924,577993.0,0.0013
tally_type_1,7,0.0,0.00034448000000000004,574299.0,0.0013
tally_type_1,7,0.0,0.00036041999999999997,572937.0,0.0013
tally_type_1,7,0.0,0.00037711,569763.0,0.0013
tally_type_1,7,0.0,0.00039456,569478.0,0.0013
tally_type_1,7,0.0,0.00041282,565764.0,0.0013
tally_type_1,7,0.0,0.00043192999999999997,563718.0,0.0013
tally_type_1,7,0.0,0.00045191999999999997,561039.0,0.0013
tally_type_1,7,0.0,0.00047284,559095.0,0.0013
tally_type_1,7,0.0,0.00049473,554177.0,0.0013
tally_type_1,7,0.0,0.00051763,553337.0,0.0013
tally_type_1,7,0.0,0.00054159,551143.0,0.0013
tally_type_1,7,0.0,0.00056666,550914.0,0.0013
tally_type_1,7,0.0,0.00059289,550449.0,0.0013
tally_type_1,7,0.0,0.00062033,546933.0,0.0013
tally_type_1,7,0.0,0.00064904,546303.0,0.0013
tally_type_1,7,0.0,0.00067909,545508.0,0.0013
tally_type_1,7,0.0,0.0007105200000000001,544688.0,0.0014
tally_type_1,7,0.0,0.00074341,545000.0,0.0013
tally_type_1,7,0.0,0.00077782,544479.0,0.0014
tally_type_1,7,0.0,0.0008138199999999999,543134.0,0.0014
tally_type_1,7,0.0,0.00085149,541046.0,0.0014
tally_type_1,7,0.0,0.0008909,541945.0,0.0014
tally_type_1,7,0.0,0.00093214,542297.0,0.0014
tally_type_1,7,0.0,0.0009752800000000001,540715.0,0.0014
tally_type_1,7,0.0,0.0010204,540357.0,0.0014
tally_type_1,7,0.0,0.0010677,540570.0,0.0014
tally_type_1,7,0.0,0.0011171,541433.0,0.0014
tally_type_1,7,0.0,0.0011688,540295.0,0.0014
tally_type_1,7,0.0,0.0012229,543259.0,0.0014
tally_type_1,7,0.0,0.0012795,540386.0,0.0014
tally_type_1,7,0.0,0.0013387,542780.0,0.0014
tally_type_1,7,0.0,0.0014007,542811.0,0.0014
tally_type_1,7,0.0,0.0014655,543053.0,0.0014
tally_type_1,7,0.0,0.0015333,542072.0,0.0014
tally_type_1,7,0.0,0.0016043000000000001,544718.0,0.0014
tally_type_1,7,0.0,0.0016786,544962.0,0.0014
tally_type_1,7,0.0,0.0017563,544943.0,0.0014
tally_type_1,7,0.0,0.0018376,543073.0,0.0014
tally_type_1,7,0.0,0.0019226,545742.0,0.0014
tally_type_1,7,0.0,0.0020116,545894.0,0.0014
tally_type_1,7,0.0,0.0021047,547406.0,0.0013
tally_type_1,7,0.0,0.0022021999999999996,547528.0,0.0013
tally_type_1,7,0.0,0.0023041,549602.0,0.0013
tally_type_1,7,0.0,0.0024107,550147.0,0.0013
tally_type_1,7,0.0,0.0025223,551491.0,0.0013
